Infant,Protocol,Famil_list,Test_list,Block,List_1,List_2,List_3,List_4
1,1,1,2,1,balkel,pinsel,felsen,kurbel
2,2,2,3,1,kurbel,felsen,balken,pinsel
3,3,3,4,1,felsen,kurbel,pinsel,balken
4,4,4,1,1,pinsel,balken,kurbel,felsen
5,5,1,2,2,kurbel,felsen,pinsel,balken
6,6,2,3,2,pinsel,balken,felsen,kurbel
7,7,3,4,2,balken,pinsel,kurbel,felsen
8,8,4,1,2,felsen,kurbel,balken,pinsel
9,1,2,1,3,pinsel,balken,kurbel,felsen
10,2,3,2,3,felsen,kurbel,pinsel,balken
11,3,4,3,3,kurbel,felsen,balken,pinsel
12,4,1,4,3,balken,pinsel,felsen,kurbel
13,5,2,1,0,balken,kurbel,pinsel,felsen
14,6,3,2,0,kurbel,balken,felsen,pinsel
15,7,4,3,0,balken,kurbel,pinsel,felsen
16,8,1,4,0,kurbel,balken,felsen,pinsel
17,1,3,4,,,,,
18,2,4,1,,,,,
19,3,1,2,,,,,
20,4,2,3,,,,,
21,5,3,4,,,,,
22,6,4,1,,,,,
23,7,1,2,,,,,
24,8,2,3,,,,,
25,1,4,3,,,,,
26,2,1,4,,,,,
27,3,2,1,,,,,
28,4,3,2,,,,,
29,5,4,3,,,,,
30,6,1,4,,,,,
31,7,2,1,,,,,
32,8,3,2,,,,,
33,1,1,2,,,,,
34,2,2,3,,,,,
35,3,3,4,,,,,
36,4,4,1,,,,,
37,5,1,2,,,,,
38,6,2,3,,,,,
39,7,3,4,,,,,
40,8,4,1,,,,,
41,1,2,1,,,,,
42,2,3,2,,,,,
43,3,4,3,,,,,
44,4,1,4,,,,,
45,5,2,1,,,,,
46,6,3,2,,,,,
47,7,4,3,,,,,
48,8,1,4,,,,,
49,1,3,4,,,,,
50,2,4,1,,,,,
51,3,1,2,,,,,
52,4,2,3,,,,,
53,5,3,4,,,,,
54,6,4,1,,,,,
55,7,1,2,,,,,
56,8,2,3,,,,,
57,1,4,3,,,,,
58,2,1,4,,,,,
59,3,2,1,,,,,
60,4,3,2,,,,,
61,5,4,3,,,,,
62,6,1,4,,,,,
63,7,2,1,,,,,
64,8,3,2,,,,,
65,1,1,2,,,,,
66,2,2,3,,,,,
67,3,3,4,,,,,
68,4,4,1,,,,,
69,5,1,2,,,,,
70,6,2,3,,,,,
71,7,3,4,,,,,
72,8,4,1,,,,,
73,1,2,1,,,,,
74,2,3,2,,,,,
75,3,4,3,,,,,
76,4,1,4,,,,,
77,5,2,1,,,,,
78,6,3,2,,,,,
79,7,4,3,,,,,
80,8,1,4,,,,,
81,1,3,4,,,,,
82,2,4,1,,,,,
83,3,1,2,,,,,
84,4,2,3,,,,,
85,5,3,4,,,,,
86,6,4,1,,,,,
87,7,1,2,,,,,
88,8,2,3,,,,,
89,1,4,3,,,,,
90,2,1,4,,,,,
91,3,2,1,,,,,
92,4,3,2,,,,,
93,5,4,3,,,,,
94,6,1,4,,,,,
95,7,2,1,,,,,
96,8,3,2,,,,,
97,1,1,2,,,,,
98,2,2,3,,,,,
99,3,3,4,,,,,
100,4,4,1,,,,,
101,5,1,2,,,,,
102,6,2,3,,,,,
103,7,3,4,,,,,
104,8,4,1,,,,,
